gene,selected,n_resamples,frequency,in_reported_panel
TCF21,60,60,1.0,True
TRPS1,59,60,0.983,True
HNF1B,58,60,0.967,True
SFTPB,57,60,0.95,True
SFTA3,56,60,0.933,True
LMX1B,54,60,0.9,True
FOXF1,52,60,0.867,True
C20ORF56,52,60,0.867,True
GATA3,51,60,0.85,True
SFTPA1,51,60,0.85,True
SFTPA2,49,60,0.817,True
TFAP2A,49,60,0.817,True
HKDC1,49,60,0.817,True
PRLR,48,60,0.8,True
MCTP2,47,60,0.783,True
NKX2-1,46,60,0.767,True
SLC45A3,46,60,0.767,True
KLK3,45,60,0.75,True
EFHD1,45,60,0.75,True
FZD5,45,60,0.75,True
SCGB2A2,45,60,0.75,True
C9ORF167,43,60,0.717,True
IHH,43,60,0.717,True
C8ORF85,43,60,0.717,True
KLK2,42,60,0.7,True
SHH,42,60,0.7,True
EN1,42,60,0.7,True
SCTR,42,60,0.7,True
SFTA2,40,60,0.667,True
PAX8,39,60,0.65,True
NKX3-1,38,60,0.633,True
HOXB13,38,60,0.633,True
ACPP,35,60,0.583,True
SCGB3A2,33,60,0.55,True
OVOL2,33,60,0.55,True
TMEFF2,33,60,0.55,True
HSD17B11,32,60,0.533,True
CDH16,32,60,0.533,True
EMX2OS,31,60,0.517,True
ACSM3,31,60,0.517,True
GALNT12,30,60,0.5,True
BEND4,30,60,0.5,True
SLC6A13,28,60,0.467,True
STEAP2,28,60,0.467,True
SLC28A1,24,60,0.4,True
RDH11,24,60,0.4,True
SLC3A1,24,60,0.4,True
HHLA2,22,60,0.367,True
C17ORF93,22,60,0.367,True
PRAC,21,60,0.35,True
ACSM2B,19,60,0.317,True
C15ORF21,19,60,0.317,True
CAPN5,17,60,0.283,True
SLC17A3,16,60,0.267,True
ADIPOQ,14,60,0.233,True
SLC22A2,14,60,0.233,True
PAGE4,14,60,0.233,True
SFTPD,14,60,0.233,True
ALDH1A3,13,60,0.217,True
FOLH1,13,60,0.217,True
DMGDH,13,60,0.217,True
IGSF9,13,60,0.217,True
TMEM140,10,60,0.167,True
