gene,selected,n_resamples,frequency,in_reported_panel
MET,9,60,0.15,True
AGXT2,8,60,0.133,True
PAX2,8,60,0.133,True
KLK15,7,60,0.117,True
DHDPSL,5,60,0.083,True
SEL1L3,4,60,0.067,True
LMO7,3,60,0.05,True
TESC,3,60,0.05,True
C9ORF152,3,60,0.05,True
GPA33,3,60,0.05,True
HOXA10,1,60,0.017,True
ARSE,1,60,0.017,True
NAPSA,52,60,0.867,False
SFTPC,45,60,0.75,False
CHRNA2,41,60,0.683,False
CPNE4,40,60,0.667,False
FXYD2,40,60,0.667,False
PCA3,35,60,0.583,False
ST6GALNAC1,35,60,0.583,False
KLK4,32,60,0.533,False
ENPP1,32,60,0.533,False
POU3F3,32,60,0.533,False
FLJ45983,32,60,0.533,False
C20ORF151,30,60,0.5,False
SLC4A4,29,60,0.483,False
C14ORF105,29,60,0.483,False
GCNT3,27,60,0.45,False
OR51E2,26,60,0.433,False
TARP,26,60,0.433,False
EMX2,26,60,0.433,False
PBX1,25,60,0.417,False
THRSP,25,60,0.417,False
LOC100130933,25,60,0.417,False
GAL3ST1,25,60,0.417,False
KLKP1,25,60,0.417,False
SALL1,23,60,0.383,False
IRX5,23,60,0.383,False
KCNJ16,23,60,0.383,False
ESRP1,22,60,0.367,False
ACSM2A,22,60,0.367,False
TMPRSS2,22,60,0.367,False
NR1H4,21,60,0.35,False
ARHGAP6,21,60,0.35,False
ENPEP,20,60,0.333,False
MREG,20,60,0.333,False
PPAP2A,20,60,0.333,False
GDEP,20,60,0.333,False
CALML5,19,60,0.317,False
DPP4,19,60,0.317,False
FOXA2,19,60,0.317,False
ROS1,18,60,0.3,False
GRHL2,18,60,0.3,False
KCNN2,18,60,0.3,False
TBC1D9,17,60,0.283,False
PPP3CA,17,60,0.283,False
AMN,17,60,0.283,False
UGT2B7,17,60,0.283,False
CDH6,16,60,0.267,False
LMAN1L,16,60,0.267,False
BHMT,16,60,0.267,False
TRPM8,15,60,0.25,False
HOXA13,15,60,0.25,False
GALNT14,15,60,0.25,False
HNF4A,15,60,0.25,False
SLC30A4,14,60,0.233,False
CUX2,14,60,0.233,False
MUC21,14,60,0.233,False
NAT8,14,60,0.233,False
CUBN,13,60,0.217,False
SLC34A2,13,60,0.217,False
GALNT6,13,60,0.217,False
ESR1,13,60,0.217,False
GATA2,13,60,0.217,False
CNKSR1,12,60,0.2,False
HAND2,12,60,0.2,False
CAMKK2,12,60,0.2,False
CRYL1,11,60,0.183,False
FEV,11,60,0.183,False
RAB25,11,60,0.183,False
GLYAT,11,60,0.183,False
PRODH2,11,60,0.183,False
FBXO17,10,60,0.167,False
ACSM5,10,60,0.167,False
USH1C,10,60,0.167,False
TMEM174,10,60,0.167,False
HOXA11AS,10,60,0.167,False
ALPK2,10,60,0.167,False
CLRN3,10,60,0.167,False
SEMA5B,9,60,0.15,False
SHOX2,9,60,0.15,False
C1ORF172,9,60,0.15,False
?|553137,9,60,0.15,False
PRKCA,9,60,0.15,False
SLC5A10,8,60,0.133,False
PABPC1L2A,8,60,0.133,False
GPX3,8,60,0.133,False
C11ORF41,8,60,0.133,False
COL23A1,8,60,0.133,False
POTEG,8,60,0.133,False
DHRS7,8,60,0.133,False
TBL1Y,8,60,0.133,False
BIN1,7,60,0.117,False
HOMER2,7,60,0.117,False
SLC13A1,7,60,0.117,False
SLC22A3,7,60,0.117,False
METTL7B,7,60,0.117,False
ASPA,7,60,0.117,False
CRABP2,7,60,0.117,False
TFAP2B,7,60,0.117,False
STK32A,7,60,0.117,False
C6ORF223,7,60,0.117,False
DPCR1,6,60,0.1,False
STEAP1,6,60,0.1,False
EPB41L4B,6,60,0.1,False
C4BPA,6,60,0.1,False
SLC37A4,6,60,0.1,False
CREB3L4,6,60,0.1,False
APOH,6,60,0.1,False
SLC17A2,6,60,0.1,False
CHRM1,6,60,0.1,False
SLC17A1,6,60,0.1,False
ARHGAP24,6,60,0.1,False
EPDR1,5,60,0.083,False
PRSS22,5,60,0.083,False
GLI3,5,60,0.083,False
FXYD3,5,60,0.083,False
SCGB1A1,5,60,0.083,False
HOXA11,5,60,0.083,False
C19ORF77,5,60,0.083,False
PKP3,5,60,0.083,False
C18ORF45,5,60,0.083,False
MFAP5,5,60,0.083,False
SLC2A2,5,60,0.083,False
TMEM84,5,60,0.083,False
LOC100131551,4,60,0.067,False
AMACR,4,60,0.067,False
TSPAN8,4,60,0.067,False
CDHR5,4,60,0.067,False
KCNE3,4,60,0.067,False
SI,4,60,0.067,False
PVRL4,4,60,0.067,False
SLC6A12,4,60,0.067,False
HOXC8,4,60,0.067,False
SPDEF,4,60,0.067,False
CYORF15B,4,60,0.067,False
CLEC18C,4,60,0.067,False
ADRB2,4,60,0.067,False
MOGAT3,4,60,0.067,False
ABCC4,4,60,0.067,False
CDH17,4,60,0.067,False
MUC4,4,60,0.067,False
MYB,4,60,0.067,False
PYCR1,4,60,0.067,False
CDK18,4,60,0.067,False
SYT7,4,60,0.067,False
ATP11A,4,60,0.067,False
CEACAM6,4,60,0.067,False
NWD1,4,60,0.067,False
C12ORF27,4,60,0.067,False
NDUFA4L2,4,60,0.067,False
NPY,3,60,0.05,False
CPLX3,3,60,0.05,False
PDZD3,3,60,0.05,False
RFPL2,3,60,0.05,False
LRRC19,3,60,0.05,False
ANKRD30A,3,60,0.05,False
CHIA,3,60,0.05,False
MBIP,3,60,0.05,False
FAM150A,3,60,0.05,False
RCBTB2,3,60,0.05,False
PDE9A,3,60,0.05,False
GUCY2C,3,60,0.05,False
ESM1,3,60,0.05,False
LRRC15,3,60,0.05,False
PKD2,3,60,0.05,False
B3GNT6,3,60,0.05,False
RBP5,3,60,0.05,False
PRKD1,3,60,0.05,False
N4BP3,3,60,0.05,False
RPS4Y1,3,60,0.05,False
CDX1,3,60,0.05,False
MST1R,3,60,0.05,False
TRPV6,3,60,0.05,False
RAB3B,3,60,0.05,False
KCNIP4,3,60,0.05,False
TMEM30B,2,60,0.033,False
SORD,2,60,0.033,False
ACAD11,2,60,0.033,False
DES,2,60,0.033,False
CTSE,2,60,0.033,False
GPR35,2,60,0.033,False
BHMT2,2,60,0.033,False
TINAG,2,60,0.033,False
SLC39A5,2,60,0.033,False
FAM198A,2,60,0.033,False
TJP3,2,60,0.033,False
ANKS6,2,60,0.033,False
ABCC3,2,60,0.033,False
ASB5,2,60,0.033,False
SLC22A11,2,60,0.033,False
SIX4,2,60,0.033,False
NAAA,2,60,0.033,False
PLA2G12B,2,60,0.033,False
BCL2L15,2,60,0.033,False
USP9Y,2,60,0.033,False
TFDP3,2,60,0.033,False
SLC15A4,2,60,0.033,False
TMEM92,2,60,0.033,False
HNF1A,2,60,0.033,False
ATCAY,2,60,0.033,False
UGT2A3,2,60,0.033,False
WDR69,2,60,0.033,False
GBA3,2,60,0.033,False
LDLRAD3,2,60,0.033,False
LGALS4,2,60,0.033,False
FLT1,2,60,0.033,False
MYO7B,2,60,0.033,False
SLCO4C1,2,60,0.033,False
CILP,2,60,0.033,False
SPOCK3,2,60,0.033,False
PLUNC,2,60,0.033,False
DDX3Y,2,60,0.033,False
SLC39A6,2,60,0.033,False
SFTA1P,2,60,0.033,False
ANO7,2,60,0.033,False
MOSC1,2,60,0.033,False
TPM3,2,60,0.033,False
ZNF350,2,60,0.033,False
ISX,2,60,0.033,False
SYCP2,2,60,0.033,False
SLC17A4,2,60,0.033,False
SCEL,2,60,0.033,False
PDZK1,2,60,0.033,False
A1CF,2,60,0.033,False
MEP1A,2,60,0.033,False
S100A14,1,60,0.017,False
C2ORF89,1,60,0.017,False
ZNF761,1,60,0.017,False
SLC25A42,1,60,0.017,False
CYORF15A,1,60,0.017,False
CABYR,1,60,0.017,False
HOPX,1,60,0.017,False
STX19,1,60,0.017,False
ANGPTL4,1,60,0.017,False
BMP2,1,60,0.017,False
DAB2,1,60,0.017,False
CDX2,1,60,0.017,False
NR0B2,1,60,0.017,False
MMP26,1,60,0.017,False
ENAM,1,60,0.017,False
SERPINB1,1,60,0.017,False
MASP1,1,60,0.017,False
TMEM163,1,60,0.017,False
MYOM3,1,60,0.017,False
FAM149A,1,60,0.017,False
LOC388387,1,60,0.017,False
FAAH,1,60,0.017,False
DPYS,1,60,0.017,False
TFAP2C,1,60,0.017,False
FERMT1,1,60,0.017,False
NBLA00301,1,60,0.017,False
AGR2,1,60,0.017,False
NOX1,1,60,0.017,False
ACMSD,1,60,0.017,False
CAMK1,1,60,0.017,False
ERBB4,1,60,0.017,False
SMARCD2,1,60,0.017,False
ARFGAP3,1,60,0.017,False
PRUNE2,1,60,0.017,False
SNRPN,1,60,0.017,False
GNMT,1,60,0.017,False
XIST,1,60,0.017,False
CECR6,1,60,0.017,False
EHF,1,60,0.017,False
ANKS4B,1,60,0.017,False
TBX3,1,60,0.017,False
CLEC18A,1,60,0.017,False
FOXA1,1,60,0.017,False
ALDH3B2,1,60,0.017,False
BBOX1,1,60,0.017,False
VAV3,1,60,0.017,False
TTTY15,1,60,0.017,False
C1ORF116,1,60,0.017,False
TMSB4Y,1,60,0.017,False
ACADL,1,60,0.017,False
NRIP2,1,60,0.017,False
ADAM12,1,60,0.017,False
EIF1AY,1,60,0.017,False
PIK3R3,1,60,0.017,False
TRIM15,1,60,0.017,False
TRIM10,1,60,0.017,False
GMPR,1,60,0.017,False
UPB1,1,60,0.017,False
DNAJB13,1,60,0.017,False
AQP4,1,60,0.017,False
AP1M2,1,60,0.017,False
TRPM4,1,60,0.017,False
KIF5C,1,60,0.017,False
KDM5D,1,60,0.017,False
PLEKHF2,1,60,0.017,False
CYP2S1,1,60,0.017,False
ACSL5,1,60,0.017,False
LPCAT1,1,60,0.017,False
TRIM55,1,60,0.017,False
EPN3,1,60,0.017,False
RABEP1,1,60,0.017,False
CELSR2,1,60,0.017,False
TMC5,1,60,0.017,False
MSMB,1,60,0.017,False
ERN2,1,60,0.017,False
EPHB3,1,60,0.017,False
SLC2A12,1,60,0.017,False
SLC5A6,1,60,0.017,False
ATP10B,1,60,0.017,False
SLC44A4,1,60,0.017,False
PDE4C,1,60,0.017,False
HOXA9,1,60,0.017,False
ANXA4,1,60,0.017,False
